canal,ruim,rms,std,kurt,motivo,fonte
1,False,156.70847266464173,156.70838632004038,-0.21738501093812124,,
2,True,0.0,0.0,,Canal morto (RMS=0.000 µV < 1 µV) | Variância nula (std=0.000 µV < 0.5 µV),auto
3,True,0.0,0.0,,Canal morto (RMS=0.000 µV < 1 µV) | Variância nula (std=0.000 µV < 0.5 µV),auto
4,False,56.78437067189347,56.78432187096701,0.8341215910177482,,
5,True,0.0,0.0,,Canal morto (RMS=0.000 µV < 1 µV) | Variância nula (std=0.000 µV < 0.5 µV),auto
6,True,0.0,0.0,,Canal morto (RMS=0.000 µV < 1 µV) | Variância nula (std=0.000 µV < 0.5 µV),auto
7,False,55.37934663026996,55.37924324468006,5.566967896609871,,
8,True,0.0,0.0,,Canal morto (RMS=0.000 µV < 1 µV) | Variância nula (std=0.000 µV < 0.5 µV),auto
9,False,447.9431380609905,447.94241266961376,-0.2758698961645156,,
10,True,0.0,0.0,,Canal morto (RMS=0.000 µV < 1 µV) | Variância nula (std=0.000 µV < 0.5 µV),auto
11,True,0.0,0.0,,Canal morto (RMS=0.000 µV < 1 µV) | Variância nula (std=0.000 µV < 0.5 µV),auto
12,True,0.0,0.0,,Canal morto (RMS=0.000 µV < 1 µV) | Variância nula (std=0.000 µV < 0.5 µV),auto
13,False,355.6092957027409,355.6092079591015,-0.5041451951335301,,
14,False,324.230633983039,324.2300604884285,0.17009059508003865,,
15,True,0.0,0.0,,Canal morto (RMS=0.000 µV < 1 µV) | Variância nula (std=0.000 µV < 0.5 µV),auto
16,False,184.11733084397343,184.11721633580095,-0.20373127305874217,,
