canal,ruim,rms,std,kurt,motivo,fonte
1,False,853.6180698059674,853.6132484205505,10.819783153090148,,
2,False,115.01671782927639,115.01660865011962,2.474165511873405,,
3,False,92.39403601184522,92.3939725199993,7.699751790185527,,
4,False,94.1220373692827,94.12201275466627,7.233017675797793,,
5,False,91.21126145431414,91.21118492085984,8.12638041541814,,
6,False,89.90205399236036,89.9019640426204,8.368830589924444,,
7,False,89.34064390350844,89.34058050591133,8.458928904539887,,
8,False,87.54757328356702,87.54751200081392,9.49693960104431,,
9,False,272.6512168906538,272.65121654939026,3.043054267723729,,
10,False,300.78985078377394,300.78984576032684,2.2634297860930026,,
11,False,345.0427676056399,345.04276615125525,-0.05935290910219715,,
12,False,310.37350550751376,310.37350172788257,0.6648433942676055,,
13,False,129.9834901317178,129.98345205451554,9.465491376727686,,
14,False,241.00797477129035,241.00797276563378,0.1894718818794794,,
15,False,147.73292497505793,147.73288806657789,1.1803437269139794,,
16,False,160.5507697641573,160.55069482003438,0.6778622098207827,,
