,media,desvio_padrao
pot_delta_min_50pct,0.6079685344210276,0.34924600541826784
delta_theta_ratio_mean_50pct,0.5611927178397053,0.2795232769360679
skewness_std_100pct,0.5264764425957918,0.20737557144625565
theta_gamma_rapido_ratio_std_100pct,0.4506442168111092,0.12650330943698238
pot_gamma_rapido_mean_100pct,0.39522050692001276,0.18703040043929356
kurtosis_min_100pct,0.38243755447985067,0.1813117134200285
entropia_espectral_std_100pct,0.3411821467981365,0.18013126972617008
skewness_max_50pct,0.3298683620416371,0.16035495969304311
pot_theta_mean_100pct,0.3134419821938912,0.2105523794027634
mean_std_50pct,0.2386535088348521,0.13198378660563476
entropia_espectral_max_100pct,0.23382715920741579,0.12877280811118424
mean_media_geral,0.22841213838711452,0.16226961993018765
centroide_hz_std_100pct,0.21510005968056103,0.06631719677068505
mean_median_50pct,0.20364970131830792,0.19341968981058888
skewness_std_50pct,0.19324208137784718,0.20481237873805505
skewness_mean_50pct,0.17030753491197567,0.12046956290599184
centroide_hz_std_50pct,0.14810721087981024,0.07136268136813663
skewness_mean_100pct,0.14762245295417145,0.11702121659151264
pot_gamma_lento_mean_50pct,0.13909403197055012,0.06662741303505905
theta_gamma_lento_ratio_min_50pct,0.1271576634470331,0.14176371233317453
pot_delta_min_100pct,0.11219111980608092,0.20551151093648595
kurtosis_mean_50pct,0.10764673313459329,0.2033482919187454
mean_mean_100pct,0.10276210820239053,0.17686374279416972
std_min_50pct,0.08718378706757725,0.10936404243184993
theta_gamma_lento_ratio_min_100pct,0.0713855373851112,0.1235165422822797
pot_theta_min_50pct,0.060706607295104256,0.10794208451947543
kurtosis_median_50pct,0.05610151139795139,0.11605070255738256
mean_mean_50pct,0.05579575130444208,0.12249884467774236
delta_theta_ratio_min_100pct,0.05152284258265093,0.1363166283128232
delta_theta_ratio_min_50pct,0.04318180371044282,0.11424831378103789
entropia_espectral_std_50pct,0.02462037553632146,0.06513939085412508
pac_theta-gamma_lento_min_100pct,0.017280263783383192,0.045719280560428045
pot_theta_min_100pct,0.015532202364595743,0.041094344769849724
